id_row,FECHA,ECP_VOL_ESTIMADO_DIA,FIL_VOL_ESTIMADO_DIA,ECP_plus_FIL_VOL_DIA,ECP_VOL_PROG,FILIALES_VOL_PROG,PROG_ECP_plus_FIL_VOL,ECP_META_747,ECP_META_741,ECP_META_755
2,02/09/2025,754000.0,754.0,754.0,714000.0,714.0,714.0,755750.0,741000.0,755000.0
3,03/09/2025,716000.0,716.0,716.0,738000.0,738.0,738.0,755750.0,741000.0,755000.0
4,04/09/2025,752000.0,752.0,752.0,741000.0,741.0,741.0,755750.0,741000.0,755000.0
5,05/09/2025,762000.0,762.0,762.0,740000.0,740.0,740.0,755750.0,741000.0,755000.0
6,06/09/2025,765000.0,765.0,765.0,742000.0,742.0,742.0,755750.0,741000.0,755000.0
7,07/09/2025,760000.0,760.0,760.0,743000.0,743.0,743.0,755750.0,741000.0,755000.0
8,08/09/2025,760000.0,760.0,760.0,741000.0,741.0,741.0,755750.0,741000.0,755000.0
9,09/09/2025,744000.0,744.0,744.0,740000.0,740.0,740.0,755750.0,741000.0,755000.0
10,10/09/2025,734000.0,734.0,734.0,742000.0,742.0,742.0,755750.0,741000.0,755000.0
11,11/09/2025,756000.0,756.0,756.0,746000.0,746.0,746.0,755750.0,741000.0,755000.0
12,12/09/2025,743000.0,743.0,743.0,742000.0,742.0,742.0,755750.0,741000.0,755000.0
13,13/09/2025,757000.0,757.0,757.0,742000.0,742.0,742.0,755750.0,741000.0,755000.0
14,14/09/2025,750000.0,750.0,750.0,746000.0,746.0,746.0,755750.0,741000.0,755000.0
15,15/09/2025,754000.0,754.0,754.0,744000.0,744.0,744.0,755750.0,741000.0,755000.0
16,16/09/2025,744000.0,744.0,744.0,743000.0,743.0,743.0,755750.0,741000.0,755000.0
17,17/09/2025,741000.0,741.0,741.0,744000.0,744.0,744.0,755750.0,741000.0,755000.0
18,18/09/2025,746000.0,746.0,746.0,739000.0,739.0,739.0,755750.0,741000.0,755000.0
19,19/09/2025,748000.0,748.0,748.0,736000.0,736.0,736.0,755750.0,741000.0,755000.0
20,20/09/2025,753000.0,753.0,753.0,739000.0,739.0,739.0,755750.0,741000.0,755000.0
21,21/09/2025,755000.0,755.0,755.0,740000.0,740.0,740.0,755750.0,741000.0,755000.0
22,22/09/2025,754000.0,754.0,754.0,740000.0,740.0,740.0,755750.0,741000.0,755000.0
23,23/09/2025,739000.0,739.0,739.0,738000.0,738.0,738.0,755750.0,741000.0,755000.0
24,24/09/2025,752000.0,752.0,752.0,738000.0,738.0,738.0,755750.0,741000.0,755000.0
25,25/09/2025,750000.0,750.0,750.0,739000.0,739.0,739.0,755750.0,741000.0,755000.0
26,26/09/2025,755000.0,755.0,755.0,740000.0,740.0,740.0,755750.0,741000.0,755000.0
27,27/09/2025,755000.0,755.0,755.0,741000.0,741.0,741.0,755750.0,741000.0,755000.0
28,28/09/2025,757000.0,757.0,757.0,742000.0,742.0,742.0,755750.0,741000.0,755000.0
29,29/09/2025,748000.0,748.0,748.0,741000.0,741.0,741.0,755750.0,741000.0,755000.0
30,30/09/2025,744000.0,744.0,744.0,744000.0,744.0,744.0,755750.0,741000.0,755000.0
