ACTIVO;CAMPO
ABANICO;ABANICO
AKACIAS;LORITO
AKACIAS;TINAMU
ALEDAÑOS;SAN LUIS
ALEDAÑOS;TENERIFE
APIAY;APIAY
APIAY;APIAY ESTE
APIAY;GAVAN
APIAY;GUATIQUIA
AREA TECA-COCORNA;AREA TECA-COCORNA
ARRAYAN-BALCON;ARRAYAN
ARRAYAN-BALCON;BALCON
BONANZA;BONANZA
CAÑO SUR;CAÑO SUR ESTE
CAÑO SUR;MITO
CAÑO SUR;PINOCHO
CASABE;BAJO RIO
CASABE;CASABE
CASABE;CASABE SUR
CASABE;PEÑAS BLANCAS
CASTILLA;CASTILLA
CASTILLA;CASTILLA ESTE
CASTILLA;CASTILLA NORTE
CHICHIMENE;CHICHIMENE
CHICHIMENE;CHICHIMENE SW
COMERCIAL;COLORADO
CPO-09;AKACIAS
CPO-09;LORITO
CR-GR-SG;CRISTALINA
CR-GR-SG;GARZAS
CUPIAGUA;CUPIAGUA
CUPIAGUA;DELE
CUSIANA;CUSIANA
DINA CRETACEO;BRISAS
DINA CRETACEO;DINA CRETACEO
DINA CRETACEO;DINA NORTE
DINA CRETACEO;DINA TERCIARIO
DINA CRETACEO;PALOGRANDE UNIFICADO
DINA CRETACEO;TEMPRANILLO UNIFICADO
DINA CRETACEO;TENAY
FLAMENCOS;FLAMENCOS
GAL-LLANITO;LLANITO UNIFICADO
GUARIQUIES;GUARIQUIES
HUILA;TENAY VILLETA
KIMERA;KIMERA
LA CIRA;INFANTAS
LA CIRA;LA CIRA
LA REFORMA;LA REFORMA
LA REFORMA;LIBERTAD
LA REFORMA;LIBERTAD NORTE
LISAMA;AULLADOR
LISAMA;LISAMA
LISAMA;LISAMA PROFUNDO
LISAMA;NUTRIA
LISAMA;PEROLES
LISAMA;TESORO
LISAMA UNIFICADO;AULLADOR
LISAMA UNIFICADO;LISAMA UNIFICADO
LOMA LARGA;LOMA LARGA
MORITO;CAMPO EXPLORATORIO MORITO-1
NARE;ABARCO
NARE;ABARCO BUFFER
NARE;GIRASOL
NARE;JAZMIN
NARE;MORICHE
NARE;MORICHE BUFFER II
NARE;NARE
NARE;UNDERRIVER
NARE - UNIFICADO;NARE UNIFICADO
NEIVA;GIGANTE
NORORIENTE;CEDRAL
NORORIENTE;CENCELLA
NORORIENTE;MANSOYA
NORORIENTE;QUILILI
NORORIENTE;YURILLA
OCCIDENTE;ALQAMARI
OCCIDENTE;CARIBE
OCCIDENTE;CHURUYACO
OCCIDENTE;QURIYANA
OCCIDENTE;SAN ANTONIO
OCCIDENTE;SUCIO
OCCIDENTE;SUCUMBIOS
ORITO;ORITO
PACHAQUIARO;PACHAQUIARO
PALAGUA;CAIPAL
PALAGUA;PALAGUA
PALERMO - SANTA CLARA UNIFICADO;PALERMO-SANTA CLARA UNIFICADO
PIEDEMONTE;FLOREÑA
PIEDEMONTE;FLOREÑA MIRADOR
PIEDEMONTE;PAUTO SUR
POB CATATUMBO;SARDINATA
PROVINCIA;LIEBRE
PROVINCIA;PROVINCIA
RECETOR WEST;RECETOR WEST
RUBIALES;RUBIALES
SAN FRANCISCO;SAN FRANCISCO
SIRIRI;GIBRALTAR
SOT;TIBU
SUR;ACAE-SAN MIGUEL
SUR;HORMIGA
SUR;LORO
SUR;UNIFICADO LORO - ACAE
SURIA;AUSTRAL
SURIA;GUAYURIBA
SURIA;MEREY
SURIA;OCOA
SURIA;POMPEYA
SURIA;QUENANE
SURIA;SAURIO
SURIA;SURIA
SURIA;SURIA SUR
SURIA;TANANE
TELLO;LA JAGUA
TELLO;TELLO
TISQUIRAMA;SAN ROQUE
TISQUIRAMA;TISQUIRAMA
UNIFICADO RIO CEIBAS;ESPINO
UNIFICADO RIO CEIBAS;UNIFICADO RIO CEIBAS
YAGUARA;YAGUARA
YARIGUI;YARIGUI-CANTAGALLO
