GERENCIA,VAR_PCT_MES,VAR_PCT_PROG,VAR_PCT_POP,GEO_LATITUDE,GEO_LONGITUDE
CPV,1.95,-1.9,3.02,7.31453930386247,-73.4590991882192
DFL,-0.15,1.01,-4.06,5.4624923846160085,-72.42580336164258
GAA,-1.17,0.29,-6.23,3.83669612859037,-73.6658495206677
GAN,3.63,0.45,4.9,-1.21570580034388,-80.4473327061338
GCH,,,,3.9481442498292,-73.6703546270523
GCT,0.1,-0.53,3.98,6.86377151625276,-70.765134699504
GLH,3.05,-0.15,-14.71,,
GNS,-1.69,1.01,-3.39,2.1603109420944,-78.2984229533851
GOR,0.06,3.07,-3.46,3.84543534702597,-71.3932749400971
GPA,-0.09,0.85,-3.33,5.06323506640053,-70.618027202838
GRM,0.2,2.34,-4.12,7.34217599988514,-73.937297020347
GTA,-0.86,-1.68,3.8,6.11852908240814,-74.5678617752332
GXO,,,,3.84812916895377,-73.799138460053
PRP,-1.9,-4.32,0.14,5.18247267116816,-72.6495783187015
