VICE,campo_top_crudo,total_crudo_agosto,total_blancos_agosto,GEO_LATITUDE,GEO_LONGITUDE
CPV,PROVINCIA,3295.38,179.75741937,7.32255190395545,-73.4515839777306
DFL,PAUTO SUR,14637.118062500002,1.096129032,,
GAA,CASTILLA,104890.921927937,682.286451645,3.8504067989048,-73.6533009338149
GAN,PALAGUA,16367.31451682,878.311935486,6.07377879779102,-74.5076323448197
GCH,CHICHIMENE,84439.75774031,0.0,3.9346960557603,-73.6857603753928
GCT,LA CIRA,25176.342902,97.28069032,6.90671878586049,-70.7399766422274
GNS,QUIFA,88440.486779645,613.4506451139999,,
GOR,RUBIALES,151196.76903,0.0,3.81112197338982,-71.4333428135434
GPA,TELLO,21298.93580732,234.52516128,4.95947507351337,-70.3566594134507
GRM,YARIGUI-CANTAGALLO,33473.8948339,103.06574839,7.34211810815372,-73.9372273909574
GTA,MORICHE,16603.6983881,0.0,,
GXO,LORITO,1880.8264518,0.0,3.89604972339046,-73.7719794254523
PRP,CUPIAGUA,5896.22322599,13005.9406455,5.20908504739305,-72.6193732983809
